ID,DrawDist_LvBegin,DrawDist_LvEnd,reserve0,DrawDist_ScaleBegin,DrawDist_ScaleEnd,ShadwDrawDist_LvBegin,ShadwDrawDist_LvEnd,reserve1,ShadwDrawDist_ScaleBegin,ShadwDrawDist_ScaleEnd,reserve2
0,21,21,System.Byte[],1,1,21,21,System.Byte[],1,1,System.Byte[]
1,21,21,System.Byte[],1,1,21,21,System.Byte[],1,1,System.Byte[]
2,1,20,System.Byte[],1,0.5,1,20,System.Byte[],1,0.5,System.Byte[]
3,1,20,System.Byte[],1,0.5,1,20,System.Byte[],1,0.5,System.Byte[]
10,1,20,System.Byte[],1,0.25,1,20,System.Byte[],1,0.25,System.Byte[]
11,1,20,System.Byte[],1,0.5,1,20,System.Byte[],1,0.5,System.Byte[]
12,21,21,System.Byte[],1,1,21,21,System.Byte[],1,1,System.Byte[]
13,21,21,System.Byte[],1,1,21,21,System.Byte[],1,1,System.Byte[]
20,21,21,System.Byte[],1,1,21,21,System.Byte[],1,1,System.Byte[]
